A,B,C,fit,strange,score,text
A01,B02,C13,4,2,8,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B02,C14,3,2,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Prediction market: price aggregates dispersed knowledge into a probability
A01,B02,C15,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B03,C01,4,2,8,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Airline yield management: price changes by demand minute to minute
A01,B03,C02,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B03,C03,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B03,C04,2,0,0,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Reinsurance: pooling many small risks and selling slices to big capital
A01,B03,C05,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Air-traffic control: live deconfliction of many actors in shared space
A01,B03,C06,3,2,6,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Spotify royalties: tiny usage events settled into automatic payouts
A01,B03,C07,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Carfax-style history report built from many third-party events
A01,B03,C08,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Ant colony / stigmergy: coordination through traces left in the environment
A01,B03,C09,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Clinical triage: route cases by urgency with a short standard question set
A01,B03,C10,3,0,0,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Futures market: sell next season's output today to lock a price
A01,B03,C11,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B03,C12,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B03,C13,4,0,0,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B03,C14,3,0,0,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Prediction market: price aggregates dispersed knowledge into a probability
A01,B03,C15,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B04,C01,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Airline yield management: price changes by demand minute to minute"
A01,B04,C02,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B04,C03,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Blood-bank / organ matching: time-critical allocation of scarce perishable supply"
A01,B04,C04,0,2,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Reinsurance: pooling many small risks and selling slices to big capital"
A01,B04,C05,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Air-traffic control: live deconfliction of many actors in shared space"
A01,B04,C06,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Spotify royalties: tiny usage events settled into automatic payouts"
A01,B04,C07,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Carfax-style history report built from many third-party events"
A01,B04,C08,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Ant colony / stigmergy: coordination through traces left in the environment"
A01,B04,C09,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Clinical triage: route cases by urgency with a short standard question set"
A01,B04,C10,2,2,4,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Futures market: sell next season's output today to lock a price"
A01,B04,C11,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B04,C12,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Speedrun/leaderboard gaming: public live competition drives behaviour"
A01,B04,C13,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Tontine / rotating savings club (ROSCA): members fund each other in turn"
A01,B04,C14,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Prediction market: price aggregates dispersed knowledge into a probability"
A01,B04,C15,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Pharmacovigilance: tiny signals from many reports detect rare problems early"
A01,B05,C01,6,3,18,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Airline yield management: price changes by demand minute to minute
A01,B05,C02,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B05,C03,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B05,C04,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Reinsurance: pooling many small risks and selling slices to big capital
A01,B05,C05,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Air-traffic control: live deconfliction of many actors in shared space
A01,B05,C06,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Spotify royalties: tiny usage events settled into automatic payouts
A01,B05,C07,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Carfax-style history report built from many third-party events
A01,B05,C08,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Ant colony / stigmergy: coordination through traces left in the environment
A01,B05,C09,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Clinical triage: route cases by urgency with a short standard question set
A01,B05,C10,4,2,8,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Futures market: sell next season's output today to lock a price
A01,B05,C11,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B05,C12,5,3,15,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B05,C13,4,2,8,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B05,C14,4,2,8,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Prediction market: price aggregates dispersed knowledge into a probability
A01,B05,C15,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B06,C01,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Airline yield management: price changes by demand minute to minute
A01,B06,C02,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B06,C03,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B06,C04,0,2,0,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Reinsurance: pooling many small risks and selling slices to big capital
A01,B06,C05,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Air-traffic control: live deconfliction of many actors in shared space
A01,B06,C06,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Spotify royalties: tiny usage events settled into automatic payouts
A01,B06,C07,0,3,0,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Carfax-style history report built from many third-party events
A01,B06,C08,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Ant colony / stigmergy: coordination through traces left in the environment
A01,B06,C09,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Clinical triage: route cases by urgency with a short standard question set
A01,B06,C10,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Futures market: sell next season's output today to lock a price
A01,B06,C11,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B06,C12,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B06,C13,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B06,C14,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Prediction market: price aggregates dispersed knowledge into a probability
A01,B06,C15,0,3,0,Agents that can pay per request (x402 / stablecoin micropayments) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B07,C01,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Airline yield management: price changes by demand minute to minute
A01,B07,C02,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B07,C03,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B07,C04,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Reinsurance: pooling many small risks and selling slices to big capital
A01,B07,C05,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Air-traffic control: live deconfliction of many actors in shared space
A01,B07,C06,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Spotify royalties: tiny usage events settled into automatic payouts
A01,B07,C07,0,3,0,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Carfax-style history report built from many third-party events
A01,B07,C08,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Ant colony / stigmergy: coordination through traces left in the environment
A01,B07,C09,0,3,0,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Clinical triage: route cases by urgency with a short standard question set
A01,B07,C10,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Futures market: sell next season's output today to lock a price
A01,B07,C11,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B07,C12,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B07,C13,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B07,C14,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Prediction market: price aggregates dispersed knowledge into a probability
A01,B07,C15,0,3,0,Agents that can pay per request (x402 / stablecoin micropayments) || Farmers lose crops to heat/drought with slow or no insurance payout || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B08,C01,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Airline yield management: price changes by demand minute to minute"
A01,B08,C02,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B08,C03,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Blood-bank / organ matching: time-critical allocation of scarce perishable supply"
A01,B08,C04,0,2,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Reinsurance: pooling many small risks and selling slices to big capital"
A01,B08,C05,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Air-traffic control: live deconfliction of many actors in shared space"
A01,B08,C06,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Spotify royalties: tiny usage events settled into automatic payouts"
A01,B08,C07,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Carfax-style history report built from many third-party events"
A01,B08,C08,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Ant colony / stigmergy: coordination through traces left in the environment"
A01,B08,C09,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Clinical triage: route cases by urgency with a short standard question set"
A01,B08,C10,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Futures market: sell next season's output today to lock a price"
A01,B08,C11,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B08,C12,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Speedrun/leaderboard gaming: public live competition drives behaviour"
A01,B08,C13,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Tontine / rotating savings club (ROSCA): members fund each other in turn"
A01,B08,C14,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Prediction market: price aggregates dispersed knowledge into a probability"
A01,B08,C15,0,3,0,"Agents that can pay per request (x402 / stablecoin micropayments) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Pharmacovigilance: tiny signals from many reports detect rare problems early"
A01,B09,C01,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Airline yield management: price changes by demand minute to minute
A01,B09,C02,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B09,C03,3,3,9,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B09,C04,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Reinsurance: pooling many small risks and selling slices to big capital
A01,B09,C05,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Air-traffic control: live deconfliction of many actors in shared space
A01,B09,C06,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Spotify royalties: tiny usage events settled into automatic payouts
A01,B09,C07,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Carfax-style history report built from many third-party events
A01,B09,C08,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Ant colony / stigmergy: coordination through traces left in the environment
A01,B09,C09,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Clinical triage: route cases by urgency with a short standard question set
A01,B09,C10,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Futures market: sell next season's output today to lock a price
A01,B09,C11,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B09,C12,3,3,9,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B09,C13,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B09,C14,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Prediction market: price aggregates dispersed knowledge into a probability
A01,B09,C15,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B10,C01,2,2,4,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Airline yield management: price changes by demand minute to minute"
A01,B10,C02,2,2,4,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B10,C03,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Blood-bank / organ matching: time-critical allocation of scarce perishable supply"
A01,B10,C04,1,0,0,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Reinsurance: pooling many small risks and selling slices to big capital"
A01,B10,C05,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Air-traffic control: live deconfliction of many actors in shared space"
A01,B10,C06,2,2,4,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Spotify royalties: tiny usage events settled into automatic payouts"
A01,B10,C07,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Carfax-style history report built from many third-party events"
A01,B10,C08,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Ant colony / stigmergy: coordination through traces left in the environment"
A01,B10,C09,0,2,0,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Clinical triage: route cases by urgency with a short standard question set"
A01,B10,C10,1,0,0,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Futures market: sell next season's output today to lock a price"
A01,B10,C11,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B10,C12,1,2,2,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Speedrun/leaderboard gaming: public live competition drives behaviour"
