A,B,C,fit,strange,score,text
A04,B02,C13,6,2,12,Instant SEPA payments mandatory for all euro banks (2025) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Tontine / rotating savings club (ROSCA): members fund each other in turn
A04,B12,C03,4,3,12,"Instant SEPA payments mandatory for all euro banks (2025) || Staff shortages in hospitality/care; workers paid late, shifts unfilled || Blood-bank / organ matching: time-critical allocation of scarce perishable supply"
A08,B04,C05,4,3,12,"Cheap on-device vision models reading paper, meters, shelves in real time || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Air-traffic control: live deconfliction of many actors in shared space"
A08,B04,C08,4,3,12,"Cheap on-device vision models reading paper, meters, shelves in real time || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Ant colony / stigmergy: coordination through traces left in the environment"
A09,B14,C08,4,3,12,"Smart meters with 15-min data rolling out in Cyprus (EAC AMI programme) || Heatwaves: buildings overheat, elderly and workers at risk (Cyprus 45C+) || Ant colony / stigmergy: coordination through traces left in the environment"
A10,B07,C10,4,3,12,"Daily free satellite imagery at 3-10m (Sentinel-2, Planet NICFI-style access) || Farmers lose crops to heat/drought with slow or no insurance payout || Futures market: sell next season's output today to lock a price"
A11,B08,C07,4,3,12,"Digital Product Passport requirement (ESPR, batteries first 2027) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Carfax-style history report built from many third-party events"
A12,B12,C03,4,3,12,"LLM voice agents that hold natural phone calls in Greek/English || Staff shortages in hospitality/care; workers paid late, shifts unfilled || Blood-bank / organ matching: time-critical allocation of scarce perishable supply"
A13,B15,C13,5,2,10,Tokenised deposits / programmable money pilots (ECB DLT settlement trials) || Property and utility disputes between landlords and tenants over shared costs || Tontine / rotating savings club (ROSCA): members fund each other in turn
A06,B03,C06,3,3,9,"Mandatory e-invoicing / real-time VAT reporting (ViDA, 2030; national earlier) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Spotify royalties: tiny usage events settled into automatic payouts"
A09,B14,C04,3,3,9,"Smart meters with 15-min data rolling out in Cyprus (EAC AMI programme) || Heatwaves: buildings overheat, elderly and workers at risk (Cyprus 45C+) || Reinsurance: pooling many small risks and selling slices to big capital"
A09,B14,C14,3,3,9,"Smart meters with 15-min data rolling out in Cyprus (EAC AMI programme) || Heatwaves: buildings overheat, elderly and workers at risk (Cyprus 45C+) || Prediction market: price aggregates dispersed knowledge into a probability"
A10,B04,C10,3,3,9,"Daily free satellite imagery at 3-10m (Sentinel-2, Planet NICFI-style access) || Cyprus water scarcity: desalination dependence, reservoirs below 20% (2025) || Futures market: sell next season's output today to lock a price"
A10,B07,C04,3,3,9,"Daily free satellite imagery at 3-10m (Sentinel-2, Planet NICFI-style access) || Farmers lose crops to heat/drought with slow or no insurance payout || Reinsurance: pooling many small risks and selling slices to big capital"
A10,B07,C14,3,3,9,"Daily free satellite imagery at 3-10m (Sentinel-2, Planet NICFI-style access) || Farmers lose crops to heat/drought with slow or no insurance payout || Prediction market: price aggregates dispersed knowledge into a probability"
A14,B08,C12,3,3,9,"EU Accessibility Act in force for SME digital services (28 Jun 2025) || Food waste: ~130 kg per EU citizen/year, retail+hospitality large share || Speedrun/leaderboard gaming: public live competition drives behaviour"
A13,B15,C10,4,2,8,Tokenised deposits / programmable money pilots (ECB DLT settlement trials) || Property and utility disputes between landlords and tenants over shared costs || Futures market: sell next season's output today to lock a price
A02,B06,C03,2,3,6,Autonomous computer-use agents that operate any web portal || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A05,B06,C09,3,2,6,EU Digital Identity Wallet with business attestations (by end-2026) || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Clinical triage: route cases by urgency with a short standard question set
A06,B03,C12,2,3,6,"Mandatory e-invoicing / real-time VAT reporting (ViDA, 2030; national earlier) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Speedrun/leaderboard gaming: public live competition drives behaviour"
A06,B03,C14,3,2,6,"Mandatory e-invoicing / real-time VAT reporting (ViDA, 2030; national earlier) || Late payment: ~50% of EU invoices paid late; SMEs hit hardest || Prediction market: price aggregates dispersed knowledge into a probability"
A07,B13,C15,2,3,6,Open finance data access (FiDA proposal) beyond payment accounts || Grant and subsidy money goes unclaimed; SMEs don't know or can't apply || Pharmacovigilance: tiny signals from many reports detect rare problems early
A03,B13,C15,2,2,4,EU Data Act: users can demand the data their connected devices generate (from 12 Sep 2025) || Grant and subsidy money goes unclaimed; SMEs don't know or can't apply || Pharmacovigilance: tiny signals from many reports detect rare problems early
A09,B15,C15,2,2,4,Smart meters with 15-min data rolling out in Cyprus (EAC AMI programme) || Property and utility disputes between landlords and tenants over shared costs || Pharmacovigilance: tiny signals from many reports detect rare problems early
