idea_id,title,origin,status,gate_reached,evidence,notes
I-09,Localised Bayesian prior for Cyprus food Scope 3 Cat 1 from delivery weights,Research director directive,parked,S1,Roesch 2026 IJLCA; Mazzetto 2022; Bartzas 2025; Pajno 2024; Petrou Bros halloumi EPD S-P-11365,Real uncertainty but untestable: farm-level variance dominates; needs CY farm ground truth (unfunded)
I-10,Zero-knowledge proof that an SME footprint was computed from authentic records without revealing amounts,"External AI suggestion (unproven), 2026-09-24",killed,S2,Emission Impossible (ACM e-Energy 2026); TU Berlin VCA; Cisco US20250117807A1,No signed data root in CY; VSME totals only; no buyer demand
I-11,Physics/constraint-bounded interpretation of sparse SME documents (extends I-07),"External AI suggestion (unproven), 2026-09-24",merged,S2,Hemmer IJDAR 2025; FleetCor US9563893; Narasimhan & Jordache 2000,Implementation variant of I-07
I-12,Half-hourly marginal emission factors for isolated island grids matched to SME meter intervals,"External AI suggestion (unproven), 2026-09-24",killed,S2,GHG Protocol Scope 2 2015 p.53 bans marginal factors; WattTime covers ~210 countries,No CY SME interval data
I-13,Calibrated per-firm fusion of sector proxy prior with sparse SME documents (bank/buyer PCAF DQ 4-5 gap),S1-MINE-10 literature gap mining,alive-conditional,S4,"S2-PA-11 pass; S4-E02-13: H13-1 PASS, H13-2 PASS, H13-3 FAIL (synthetic)",Surviving claim: evidence-shrinking calibrated interval without labelled data; pooling not the value; needs robust likelihood + real ground truth
I-07+13,Unified calibrated core (macro prior + discrete ambiguity likelihood),synthesis,spec-only,S5-spec,reports/UNIFIED_INNOVATION_CORE_I07_I13.md,Unified model never run; claims limited to separate synthetic results
I-14,Calibration backtesting (traffic-light) for emissions estimates under non-random delayed realisation,frontier F-02,killed,S4,"S4-E03-14: H14-2 power 0.20 at n=150 G=2; plateau <0.56 at n=1000; H14-3 fail",Dead on power grounds (identified set does not shrink with n); reports/S4_I14_RESULTS.md
I-15,Per-borrower ETS2 cost-shock exposure interval,frontier F-03,open-weak,S1,reports/FRONTIER_INNOVATION_MINING.md,Deepened in round 2 as I-15b
I-16,Calibrated emissions claim record,frontier C,vehicle-not-research,S1,reports/FRONTIER_INNOVATION_MINING.md,Only meaningful with I-14
I-15b,Per-firm ETS2 pass-through capacity from past fuel-price shocks,frontier round 2,open-weak,S1,reports/FRONTIER_MINING_ROUND2.md s1,Pass-through econometrics mature; S2 screen only
I-17,Plausibility interval for supplier-declared CBAM embedded emissions,frontier round 2,open-weak,S1,2025/2547; CBAM Guidance 3 (14 Aug 2026),Likely engineering; small CY volume
I-18,Hash-chained evidence ledger for SME emissions files,frontier round 2,killed,S1,RFC 6962/3161 patterns; ISSA 5000 judgement-based; US12725117B2,"Engineering, no technical uncertainty; carrier for I-16"
I-19,Posterior-weighted audit sampling of SME evidence,frontier round 2,open-weak,S1,reports/FRONTIER_MINING_ROUND2.md s3,Risk-based/MUS sampling mature; likely killed
I-20,Instrumented or magnitude-bounded coverage backtest (successor to I-14),S4-E03-14,open-weak,S1,reports/S4_I14_RESULTS.md,Needs a forced-disclosure instrument (none in Cyprus) or outcome-range bounds; not started
